custID,modelID
1,1
2,11
3,12
4,1
5,10
6,8
7,5
8,5
9,5
10,12
11,5
12,5
13,6
14,9
15,4
16,1
17,11
18,4
19,9
20,4
21,10
22,11
23,6
24,1
25,1
26,9
27,2
28,1
29,2
30,4
31,1
32,10
33,9
34,5
35,4
36,10
37,9
38,4
39,5
40,8
41,3
42,10
43,8
44,12
45,2
46,8
47,11
48,2
49,4
50,8
51,11
52,7
53,3
54,8
55,5
56,9
57,9
58,2
59,7
60,3
61,5
62,6
63,3
64,4
65,7
66,7
67,10
68,5
69,6
70,5
71,10
72,7
73,2
74,4
75,6
76,4
77,10
78,4
79,7
80,12
81,2
82,1
83,7
84,3
85,12
86,9
87,12
88,5
89,9
90,7
91,11
92,5
93,10
94,8
95,1
96,7
97,2
98,2
99,9
100,8
101,2
102,6
103,3
104,1
105,10
106,12
107,2
108,9
109,8
110,6
111,3
112,9
113,11
114,4
115,11
116,2
117,3
118,7
119,11
120,1
121,1
122,10
123,3
124,9
125,8
126,10
127,9
128,6
129,4
130,8
131,2
132,9
133,6
134,2
135,6
136,2
137,12
138,8
139,7
140,5
141,4
142,6
143,8
144,5
145,1
146,2
147,11
148,12
149,8
150,10
151,2
152,6
153,3
154,4
155,9
156,8
157,4
158,2
159,5
160,5
161,12
162,7
163,10
164,8
165,11
166,8
167,12
168,1
169,9
170,4
171,9
172,10
173,3
174,10
175,4
176,11
177,12
178,5
179,8
180,4
181,4
182,7
183,11
184,11
185,5
186,12
187,4
188,10
189,3
190,3
191,12
192,7
193,8
194,5
195,9
196,5
197,2
198,6
199,12
200,12
201,9
202,7
203,10
204,3
205,12
206,4
207,4
208,10
209,3
210,4
211,1
212,8
213,4
214,9
215,12
216,4
217,1
218,4
219,4
220,2
221,4
222,9
223,10
224,11
225,7
226,1
227,8
228,4
229,4
230,2
231,5
232,9
233,2
234,1
235,12
236,9
237,2
238,5
239,9
240,8
241,9
242,5
243,10
244,7
245,9
246,3
247,11
248,2
249,1
250,11
251,12
252,12
253,4
254,9
255,1
256,7
257,3
258,11
259,9
260,4
261,11
262,5
263,5
264,5
265,11
266,3
267,9
268,3
269,12
270,4
271,11
272,4
273,12
274,12
275,7
276,5
277,10
278,12
279,11
280,12
281,2
282,1
283,8
284,4
285,7
286,6
287,1
288,7
289,1
290,4
291,10
292,12
293,3
294,1
295,5
296,5
297,7
298,12
299,12
300,2
301,7
302,8
303,1
304,9
305,8
306,5
307,7
308,9
309,6
310,5
311,4
312,6
313,1
314,3
315,11
316,12
317,5
318,1
319,12
320,9
321,10
322,8
323,1
324,2
325,7
326,12
327,8
328,1
329,2
330,1
331,8
332,4
333,12
334,5
335,12
336,8
337,1
338,3
339,11
340,4
341,5
342,4
343,2
344,2
345,10
346,2
347,10
348,1
349,6
350,1
351,11
352,8
353,12
354,9
355,5
356,8
357,4
358,7
359,4
360,8
361,6
362,1
363,12
364,10
365,2
366,11
367,5
368,4
369,10
370,7
371,3
372,11
373,8
374,5
375,4
376,6
377,12
378,9
379,8
380,12
381,2
382,4
383,6
384,4
385,3
386,2
387,7
388,11
389,8
390,6
391,12
392,7
393,10
394,4
395,11
396,9
397,7
398,11
399,12
400,7
401,9
402,6
403,11
404,2
405,6
406,1
407,11
408,12
409,1
410,7
411,10
412,8
413,5
414,8
415,9
416,3
417,4
418,7
419,11
420,9
421,5
422,6
423,10
424,12
425,9
426,7
427,12
428,10
429,4
430,8
431,10
432,2
433,9
434,7
435,10
436,12
437,6
438,5
439,1
440,8
441,3
442,2
443,9
444,6
445,6
446,11
447,3
448,10
449,12
450,11
451,4
452,8
453,10
454,4
455,2
456,5
457,6
458,9
459,5
460,4
461,11
462,11
463,6
464,10
465,10
466,10
467,8
468,3
469,2
470,7
471,3
472,5
473,10
474,10
475,4
476,10
477,12
478,3
479,10
480,7
481,4
482,12
483,8
484,7
485,11
486,5
487,8
488,6
489,6
490,8
491,6
492,12
493,7
494,5
495,11
496,6
497,10
498,4
499,4
500,8
501,5
502,11
503,2
504,5
505,10
506,5
507,1
508,5
509,11
510,12
511,4
512,11
513,1
514,5
515,2
516,10
517,10
518,5
519,3
520,4
521,3
522,4
523,5
524,8
525,4
526,5
527,11
528,5
529,2
530,10
531,11
532,11
533,12
534,6
535,12
536,12
537,1
538,9
539,1
540,10
541,11
542,11
543,12
544,8
545,5
546,12
547,8
548,11
549,1
550,9
551,1
552,7
553,9
554,5
555,9
556,10
557,12
558,9
559,11
560,2
561,6
562,11
563,5
564,8
565,2
566,11
567,3
568,10
569,9
570,3
571,3
572,8
573,2
