custID,storeID
1,3
2,18
3,12
4,3
5,1
6,4
7,17
8,13
9,13
10,1
11,2
12,3
13,4
14,7
15,11
16,19
17,8
18,1
19,6
20,6
21,19
22,15
23,2
24,9
25,13
26,15
27,1
28,15
29,7
30,9
31,12
32,5
33,1
34,5
35,6
36,6
37,15
38,1
39,3
40,18
41,8
42,19
43,4
44,18
45,18
46,4
47,18
48,19
49,20
50,7
51,18
52,6
53,13
54,11
55,2
56,3
57,9
58,3
59,8
60,10
61,7
62,7
63,3
64,13
65,17
66,18
67,17
68,4
69,2
70,8
71,12
72,11
73,15
74,10
75,4
76,1
77,12
78,18
79,6
80,17
81,3
82,2
83,12
84,1
85,10
86,11
87,10
88,6
89,4
90,19
91,8
92,7
93,20
94,13
95,12
96,9
97,10
98,5
99,14
100,17
101,16
102,8
103,9
104,4
105,15
106,16
107,1
108,20
109,19
110,12
111,17
112,16
113,8
114,5
115,1
116,1
117,16
118,20
119,12
120,9
121,20
122,5
123,19
124,7
125,14
126,11
127,4
128,14
129,17
130,14
131,12
132,7
133,7
134,11
135,2
136,2
137,17
138,6
139,16
140,20
141,16
142,16
143,20
144,12
145,4
146,7
147,3
148,7
149,1
150,18
151,3
152,5
153,2
154,6
155,19
156,5
157,1
158,9
159,14
160,3
161,2
162,6
163,7
164,20
165,20
166,15
167,13
168,5
169,1
170,4
171,2
172,20
173,11
174,19
175,15
176,2
177,6
178,2
179,9
180,13
181,6
182,10
183,6
184,17
185,16
186,2
187,7
188,7
189,20
190,17
191,15
192,11
193,11
194,1
195,4
196,16
197,6
198,20
199,13
200,3
201,1
202,3
203,13
204,6
205,17
206,7
207,2
208,7
209,7
210,6
211,5
212,14
213,11
214,7
215,20
216,16
217,14
218,10
219,3
220,14
221,5
222,20
223,19
224,2
225,4
226,8
227,20
228,16
229,3
230,2
231,15
232,5
233,18
234,5
235,2
236,9
237,8
238,12
239,4
240,7
241,18
242,19
243,16
244,13
245,5
246,7
247,12
248,16
249,20
250,3
251,4
252,17
253,3
254,4
255,5
256,16
257,19
258,15
259,9
260,12
261,4
262,17
263,11
264,9
265,6
266,20
267,2
268,18
269,12
270,1
271,19
272,11
273,13
274,8
275,9
276,16
277,14
278,18
279,17
280,20
281,7
282,19
283,17
284,19
285,3
286,17
287,5
288,9
289,7
290,4
291,4
292,5
293,2
294,9
295,20
296,19
297,5
298,17
299,14
300,7
301,15
302,15
303,12
304,5
305,11
306,8
307,16
308,6
309,8
310,9
311,15
312,17
313,2
314,4
315,4
316,7
317,1
318,11
319,7
320,1
321,17
322,1
323,18
324,16
325,2
326,3
327,8
328,17
329,3
330,8
331,14
332,10
333,4
334,13
335,14
336,1
337,18
338,20
339,9
340,14
341,11
342,8
343,14
344,18
345,4
346,9
347,3
348,6
349,9
350,6
351,20
352,18
353,6
354,3
355,15
356,12
357,13
358,15
359,20
360,20
361,9
362,16
363,6
364,8
365,12
366,8
367,5
368,19
369,5
370,2
371,15
372,13
373,2
374,1
375,11
376,18
377,20
378,20
379,12
380,18
381,6
382,10
383,8
384,14
385,15
386,2
387,3
388,18
389,9
390,18
391,12
392,16
393,16
394,17
395,8
396,8
397,8
398,3
399,6
400,12
401,5
402,9
403,4
404,12
405,19
406,7
407,3
408,12
409,4
410,20
411,16
412,17
413,13
414,2
415,14
416,1
417,17
418,8
419,7
420,7
421,11
422,10
423,8
424,3
425,13
426,4
427,3
428,4
429,18
430,15
431,10
432,12
433,7
434,7
435,2
436,12
437,19
